title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context,_source_file
American Forests’ Tree Equity Pledge,"Phoenix faces substantial challenges related to extreme heat, air quality, and social inequity. The Phoenix Tree Equity Pledge, launched in 2021, is a comprehensive city-wide initiative focused on addressing urban tree inequity and reducing the effects of extreme heat, especially in communities most vulnerable to these conditions. Partnering with American Forests, the initiative aims to achieve 'tree equity' by 2030, ensuring all neighborhoods receive the benefits trees offer.",ongoing,Phoenix,United States,city,"[""Alley or street trees and other street vegetation"", ""Green parking lots"", ""Green playgrounds and school grounds""]","[""Extreme heat"", ""Air quality"", ""Social inequity""]","[""Improved air quality"", ""Improved physical health""]","[{""description"": ""Increased tree canopy coverage"", ""type"": ""environmental""}, {""description"": ""Improved community health"", ""type"": ""social""}, {""description"": ""Creation of green jobs"", ""type"": ""economic""}]",Co-governance with government and non-government actors,https://una.city/nbs/phoenix-fua/american-forests-tree-equity-pledge,urban,001_American_Forests_Tree_Equity_Pledge.html
Environmental education project in the Green Play City,"The 'Green Play City', a nature experience park on 4,500 sqm exists since 1999. Initiated and administered by the non-profit organization 'Wissenschaftsladen' (short WiLa), it combines nature experience and recreation for kids and grown-ups with education about the environment and nature-based design while also serving as a place for social interactions through intercultural events. The initiative 'Raus aus'm Haus' aims at expanding the educational and participatory component of the Green Play City.",completed,Bonn,Germany,neighborhood,"[""Parks and urban forests"", ""Large urban parks or forests""]","[""Green space, habitats and biodiversity (SDG 15)"", ""Social justice, cohesion and equity (SDG 10)"", ""Health and well-being (SDG 3)"", ""Cultural heritage and cultural diversity""]","[""Enabling opportunities for physical activity""]","[{""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Increased opportunities for social interaction"", ""type"": ""social""}, {""description"": ""Gain in activities for recreation and exercise"", ""type"": ""social""}, {""description"": ""Increased knowledge of locals about local nature"", ""type"": ""social""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Led by non-government actors,https://una.city/nbs/bonn/environmental-education-project-green-play-city,urban,002_Environmental_education_project_in_the_Green_Play_City.html
Fog Water Farm Park and Gardens,"Eliseo Collazos is located in the coastal desert ecosystem of the Lomas or ‘fog oasis’, an area that receives less than 10 mm of rainfall per year. The Gardens, Greenspace and Health project responds to community priorities for greenspace and food security, aiming to expand greenspace, agriculture, and ecological restoration. The project involved the installation of fog catchers and the creation of common recreational spaces.",completed,"Puente Piedra, Lima (FUA)",Peru,neighborhood,"[""Community gardens and allotments"", ""Grey infrastructure featuring greens"", ""Parks and urban forests""]","[""Air pollution"", ""Soil degradation"", ""Food scarcity / security""]","[""Improved air quality"", ""Improving mental health"", ""Improving physical health""]","[{""description"": ""Achieved improved air quality"", ""type"": ""environmental""}, {""description"": ""Achieved increased green space area"", ""type"": ""environmental""}, {""description"": ""Achieved improved social cohesion"", ""type"": ""social""}, {""description"": ""Achieved increased access to healthy/affordable food"", ""type"": ""social""}, {""description"": ""Achieved improved physical health"", ""type"": ""unknown""}]","Led by non-government actors, initiated by Washington University with community involvement.",https://una.city/nbs/lima-fua/fog-water-farm-park-and-gardens,coastal,003_Fog_Water_Farm_Park_and_Gardens.html
GLAS Community Garden in Blanchardstown,"A community garden opened in 2023 on the Technological University (TU) Dublin Blanchardstown campus. This environmental education and social inclusion project is a collaborative effort involving Fingal County Council, Global Action Plan Ireland, TU Dublin, and the local community. It provides a space for local groups and schools to grow fresh produce, reconnect with nature, and foster a stronger sense of community.",ongoing,"Dublin, Dublin (FUA)",Ireland,neighborhood,"[""Community gardens"", ""Horticulture""]","[""Environmental quality"", ""Soil quality improvement"", ""Green space creation and/or management"", ""Health and well-being"", ""Improving mental health"", ""Improving physical health"", ""Social justice and equity"", ""Social interaction"", ""Environmental education"", ""Sense of community and community engagement"", ""Sustainable consumption"", ""Sustainable production""]","[""Improved mental health"", ""Improved physical health""]","[{""description"": ""Improved soil quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Improved access to urban green space"", ""type"": ""social""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Improved physical health"", ""type"": ""unknown""}, {""description"": ""Improved mental health"", ""type"": ""unknown""}, {""description"": ""Increased awareness of NBS and their benefits"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/dublin-fua/glas-community-garden-blanchardstown,urban,004_GLAS_Community_Garden_in_Blanchardstown.html
Heat Action Planning in Lindo Park-Roesley Park Neighborhood,"The Heat Action Planning project in the Lindo Park-Roesley Park Neighborhood in Phoenix, Arizona, specifically addresses the heat-related challenges residents face in this area. Phoenix is particularly vulnerable to extreme heat events, and this project aims to provide both mitigation and adaptation strategies to reduce the direct impacts of heat and help residents cope more effectively with these conditions. The project focuses on heat hazards such as extreme temperature events and the urban heat island effect, which disproportionately affect vulnerable populations.",ongoing,Phoenix,United States,neighborhood,"[""Parks and urban forests"", ""Pocket parks/neighbourhood green spaces""]","[""Climate action for adaptation, resilience and mitigation (SDG 13)"", ""Climate change adaptation"", ""Environmental quality"", ""Air quality improvement"", ""Green space, habitats and biodiversity (SDG 15)"", ""Green space creation and/or management"", ""Water management (SDG 6)"", ""Stormwater and rainfall management and storage"", ""Water security"", ""Health and well-being (SDG 3)"", ""Creation of opportunities for recreation"", ""Improving physical health"", ""Inclusive and effective governance (SDG 16)"", ""Inclusive governance"", ""Social justice, cohesion and equity (SDG 10)"", ""Social justice and equity"", ""Environmental education"", ""Sense of community and community engagement""]","[""Improved physical health"", ""Reduced risk of heatstroke and/or dehydration""]","[{""description"": ""Lowered local temperature"", ""type"": ""environmental""}, {""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Improved stormwater management"", ""type"": ""environmental""}, {""description"": ""Improved liveability"", ""type"": ""social""}, {""description"": ""Expected improved physical health"", ""type"": ""social""}, {""description"": ""Expected improved community safety to climate-related hazards"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/phoenix-fua/heat-action-planning-lindo-park-roesley-park-neighborhood,urban,005_Heat_Action_Planning_in_Lindo_Park-Roesley_Park_Neighborhood.html
Renatura pilot: Fast Forests for Lisbon,"The Mediterranean climate in Lisbon, already characterised by low precipitation, has been further exacerbated by climate change. The city faces challenges related to biodiversity loss, urban loneliness, and climate anxiety. To address these issues, Lisbon's urban development plans have prioritised the re-naturalisation of urban spaces and the integration of ecological networks. This project encompasses different strategies, such as the RENATURA pilot project, which aims to restore forests within the city through active public participation in tree planting and forest maintenance.",completed,"Lisboa, Lisboa (FUA)",Portugal,neighborhood,"[""Parks and urban forests"", ""Large urban parks or forests""]","[""Climate change adaptation"", ""Biodiversity loss"", ""Mental health issues (stress, anxiety)"", ""Social fragmentation and isolation""]","[""Improving mental health"", ""Creation of opportunities for recreation""]","[{""description"": ""Lowered local temperature"", ""type"": ""environmental""}, {""description"": ""Improved air quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Improved social cohesion"", ""type"": ""social""}, {""description"": ""Achieved gain in activities for recreation and exercise"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/lisboa-fua/renatura-pilot-fast-forests-lisbon,urban,006_Renatura_pilot_Fast_Forests_for_Lisbon.html
The Lower Salt River Restoration Project,"The Lower Salt River Restoration Project (LSRRP) is a riparian restoration initiative located along the Lower Salt River within the Mesa Ranger District of the Tonto National Forest. This collaborative project seeks to restore a section of the Lower Salt River Recreation Area that was severely impacted by the 2017 Cactus Fire. The LSRRP’s primary activities focus on removing invasive tamarisk trees and planting native seedlings to reestablish local flora, enhancing ecological resilience and community engagement.",ongoing,Phoenix (FUA),United States,regional,"[""Rivers/streams/canals/estuaries""]","[""Climate change adaptation"", ""Flood protection"", ""Biodiversity loss"", ""Invasive alien species""]",[],"[{""description"": ""Increased protection against flooding"", ""type"": ""environmental""}, {""description"": ""Achieved increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Achieved increased number of species present"", ""type"": ""environmental""}, {""description"": ""Achieved increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Achieved increased knowledge of locals about local nature"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/phoenix-fua/lower-salt-river-restoration-project,urban,007_The_Lower_Salt_River_Restoration_Project.html
The Red Cross and the Antilles et d'Ailleurs Garden,"The socio-economic and gendered challenges faced by female migrants in Martinique were highlighted by the NGO D’Antilles et D’Ailleurs. To address these issues, D’Antilles et D’Ailleurs and the Red Cross of Martinique developed support services to help women transition out of prostitution, including the creation of a therapeutic garden. This garden serves as a nature-based solution, providing a safe space for healing, community-building, and skill development.",completed,"Fort de France, Fort-de-France (FUA)",Martinique,site,"[""community gardens"", ""community gardens and allotments""]","[""Green space, habitats and biodiversity"", ""Social justice, cohesion and equity""]","[""Mental health issues (stress, anxiety)""]","[{""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Achieved improved social cohesion"", ""type"": ""social""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}]","Led by non-government actors, jointly owned by the Red Cross and D’Antilles et D’Ailleurs.",https://una.city/nbs/fort-de-france-fua/red-cross-and-antilles-et-dailleurs-garden,urban,008_The_Red_Cross_and_the_Antilles_et_dAilleurs_Garden.html
Three Bays Protected Area,"As a result of a ReefFix Project, an Integrated Coastal Zone Management (ICZM) Coral Reef and Mangrove Restoration and Watershed Management Demonstration programme, the Three Bays Marine Protected Area (MPA) and associated Integrated Coastal Zone Management (ICZM) Plan have been established in Haiti. The establishment of the MPA and ICZM will help protect the mangroves, eel grass beds, reefs and habitats housing important fisheries that are crucial for providing livelihoods to nearby communities. It will also help protect the area from storm surges and provide local communities with ecosystem services such as carbon sequestration, tourism value and more.",completed,Fort Liberté,Haiti,regional,"[""coastal wetland, mangroves and salt marshes"", ""blue infrastructure""]","[""climate change adaptation"", ""climate change mitigation"", ""coastal protection / hazard mitigation"", ""marine and coastal biodiversity protection"", ""flood protection""]",[],"[{""description"": ""Increased protection against sea level rise"", ""type"": ""environmental""}, {""description"": ""Strengthened capacity to address climate hazards/natural disasters"", ""type"": ""environmental""}, {""description"": ""Enhanced carbon sequestration"", ""type"": ""environmental""}, {""description"": ""Increased conservation or restoration of ecosystems"", ""type"": ""environmental""}, {""description"": ""Increased ecological connectivity across regeneration sites and scales"", ""type"": ""environmental""}, {""description"": ""Increased number of species present"", ""type"": ""environmental""}, {""description"": ""Increased protection of threatened species"", ""type"": ""environmental""}, {""description"": ""Increased involvement of locals in the management of green spaces"", ""type"": ""social""}, {""description"": ""Increased support for education and scientific research"", ""type"": ""social""}, {""description"": ""Improved community safety to climate-related hazards"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/fort-liberte/three-bays-protected-area,coastal,009_Three_Bays_Protected_Area.html
Vinh River Rehabilitation Project,"Vinh is the biggest city in north-central Vietnam and is the hub for economic and cultural development in the region. Flooding and poor environmental sanitation are major impediments to the development of Vinh City. Recently (in 2021), with support from the World Bank, the government initiated a program, the Vinh City Priority Infrastructure and Urban Resilience Development Project (VPIUR), which aims to reduce the risk of flooding in urban areas and strengthen urban management capacity to adapt to climate change.",ongoing,Vinh,Vietnam,regional,"[""blue infrastructure"", ""grey infrastructure featuring greens""]","[""flood protection"", ""climate change adaptation""]",[],"[{""description"": ""Improved water quality"", ""type"": ""environmental""}, {""description"": ""Increased green space area"", ""type"": ""environmental""}, {""description"": ""Increased property prices"", ""type"": ""economic""}, {""description"": ""Fair distribution of social, environmental and economic benefits of the NBS project"", ""type"": ""social""}]",Co-governance with government and non-government actors,https://una.city/nbs/vinh/vinh-river-rehabilitation-project,urban,010_Vinh_River_Rehabilitation_Project.html
